Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Deep Goblin Skulltaker,B,C,78492,6.08,8548,8.86,26485,54.80%,50.50%,4510,49.50%,6637,50.60%,11147,50.20%,15262,50.70%,-0.5pp
Sunshot Militia,R,C,80799,6.32,17149,8.07,69440,67.30%,57.30%,12033,56.70%,15170,57.10%,27203,57.00%,42124,57.50%,-0.5pp
Cosmium Blast,W,C,73527,5.43,10070,7.78,34643,58.60%,54.20%,5819,53.00%,8517,54.50%,14336,53.90%,20185,54.50%,-0.5pp
Hurl into History,U,U,31436,6.29,5333,8.44,11495,36.80%,53.90%,1774,51.90%,3024,54.30%,4798,53.40%,6587,54.00%,-0.6pp
Over the Edge,G,C,85179,7.03,8054,10.42,16430,35.20%,52.50%,2702,51.70%,4004,52.40%,6706,52.10%,9696,52.70%,-0.6pp
River Herald Scout,U,C,74797,5.58,16715,7.25,71171,71.80%,56.00%,12681,56.40%,17113,55.10%,29794,55.70%,40968,56.30%,-0.6pp
Rampaging Ceratops,R,U,24251,4.54,3741,6.28,14552,65.80%,54.70%,2254,52.50%,3464,55.50%,5718,54.40%,8812,55.00%,-0.6pp
Canonized in Blood,B,U,27546,5.52,2796,8.24,5487,35.30%,46.00%,914,44.00%,1374,46.70%,2288,45.60%,3183,46.20%,-0.7pp
Malicious Eclipse,B,U,30295,6.21,3117,9.28,3918,22.00%,49.40%,653,46.40%,1009,50.60%,1662,49.00%,2238,49.60%,-0.7pp
Coati Scavenger,G,U,24162,4.45,3945,5.81,15879,68.90%,54.50%,2668,51.10%,3706,56.10%,6374,54.00%,9363,54.70%,-0.7pp
Frilled Cave-Wurm,U,C,92096,8.54,10651,12.21,7688,12.30%,51.30%,1240,49.40%,2080,51.60%,3320,50.80%,4301,51.50%,-0.7pp
Unlucky Drop,U,C,91237,8.18,16587,10.54,39884,40.20%,58.90%,6417,56.50%,10008,59.60%,16425,58.40%,23167,59.10%,-0.7pp
Vito's Inquisitor,B,C,86088,7.3,9139,10.63,18100,35.00%,49.80%,2866,47.40%,4682,50.60%,7548,49.40%,10527,50.10%,-0.7pp
Hunter's Blowgun,,C,91764,8.18,8696,12.11,5172,10.10%,53.30%,821,51.00%,1199,54.00%,2020,52.80%,3129,53.50%,-0.7pp
Malamet Scythe,G,C,90162,8.02,9065,11.67,10686,20.10%,54.20%,1669,53.30%,2510,54.00%,4179,53.70%,6490,54.50%,-0.7pp
Digsite Conservator,,U,27149,4.49,5802,6.1,24845,72.70%,55.30%,4401,54.70%,5721,54.90%,10122,54.80%,14521,55.60%,-0.8pp
Helping Hand,W,U,30615,6.14,4302,8.67,9543,37.40%,55.10%,1516,54.40%,2268,54.70%,3784,54.50%,5728,55.40%,-0.8pp
Hidden Cataract,,B,75483,6.5,13323,8.97,63194,80.10%,56.30%,11265,56.40%,16257,55.40%,27522,55.80%,35285,56.70%,-0.9pp
Seismic Monstrosaur,R,C,75662,5.54,10144,8.09,37482,62.60%,54.70%,6243,52.80%,8792,55.20%,15035,54.20%,22342,55.00%,-0.9pp
Dauntless Dismantler,W,U,30118,5.84,4616,8.01,13026,47.90%,55.20%,2263,55.10%,2986,54.20%,5249,54.60%,7757,55.50%,-0.9pp
Oteclan Landmark,W,C,83762,7.12,12264,9.89,26307,36.20%,55.00%,4607,52.40%,6127,55.90%,10734,54.40%,15389,55.40%,-1.0pp
Hermitic Nautilus,U,U,27257,5.16,6473,6.49,28778,75.00%,57.10%,5056,57.20%,6770,55.80%,11826,56.40%,16579,57.50%,-1.1pp
Compass Gnome,,C,84049,6.11,12669,8.72,36270,49.00%,53.40%,6651,53.60%,7916,51.90%,14567,52.70%,21476,53.80%,-1.2pp
Song of Stupefaction,U,C,92230,8.85,11863,12.32,8075,11.60%,51.50%,1287,48.00%,2050,52.40%,3337,50.70%,4672,51.90%,-1.2pp
Waylaying Pirates,U,C,84589,6.87,16393,8.99,60946,62.20%,58.30%,9752,55.70%,15050,58.50%,24802,57.40%,34903,58.60%,-1.2pp
Acrobatic Leap,W,C,93048,8.74,12235,12.08,9192,12.60%,57.30%,1363,57.20%,2069,56.00%,3432,56.50%,5747,57.70%,-1.2pp
Vanguard of the Rose,W,U,25193,4.68,6323,5.75,29759,77.70%,57.40%,5251,57.70%,6846,55.90%,12097,56.70%,17610,57.90%,-1.2pp
