"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Ojer Kaslem, Deepest Growth","G","M","1028","1.27","726","1.20","744","100.0%","52.4%","135","","185","","320","","418","",""
"The Skullspore Nexus","G","M","1240","1.55","684","1.47","751","98.0%","56.3%","115","","214","","329","","420","",""
"Spelunking","G","U","32683","6.90","3186","10.39","555","23.9%","52.8%","98","","123","","221","","333","",""
"Abuelo, Ancestral Echo","WU","R","4095","2.54","1882","2.46","6","","","2","","2","","4","","2","",""
"Amalia Benavides Aguirre","WB","R","5353","3.28","1171","3.83","27","","","5","","6","","11","","15","",""
"The Ancient One","UB","M","1948","2.54","521","2.57","61","","","11","","10","","21","","40","",""
"Anim Pakal, Thousandth Moon","WR","R","2972","1.84","1908","1.76","7","","","2","","1","","3","","4","",""
"Bartolomé del Presidio","WB","U","25858","5.12","4294","6.63","72","7.5%","","11","","21","","32","","40","",""
"The Belligerent","UR","R","4298","2.62","1943","2.62","6","","","2","","0","","2","","4","",""
"Caparocti Sunborn","WR","U","20087","3.89","6151","4.49","25","","","9","","4","","13","","9","",""
"Captain Storm, Cosmium Raider","UR","U","22412","4.44","7276","4.83","0","","","0","","0","","0","","0","",""
"Deepfathom Echo","UG","R","4038","2.64","1591","2.51","480","63.4%","","78","","130","","208","","270","",""
"Gishath, Sun's Avatar","WRG","M","1739","2.11","474","2.14","25","","","4","","3","","7","","18","",""
"Itzquinth, Firstborn of Gishath","RG","U","18366","3.56","4496","4.05","339","34.9%","","73","","86","","159","","178","",""
"Kellan, Daring Traveler","WG","R","3225","1.98","1832","1.89","80","","","13","","21","","34","","46","",""
"Kutzil, Malamet Exemplar","WG","U","23546","4.63","3996","5.94","106","9.9%","","16","","27","","43","","62","",""
"Master's Guide-Mural","WU","U","26582","4.14","8080","4.82","15","","","4","","2","","6","","9","",""
"Molten Collapse","BR","R","4535","2.85","1319","3.02","137","","","20","","33","","53","","84","",""
"Nicanzil, Current Conductor","UG","U","24829","5.07","3821","6.61","191","17.1%","","28","","47","","75","","116","",""
"Palani's Hatcher","RG","R","2778","1.73","1684","1.66","503","77.7%","55.3%","90","","121","","211","","289","",""
"Quintorius Kand","WR","M","1022","1.22","882","1.21","33","","","7","","9","","16","","17","",""
"Saheeli, the Sun's Brilliance","UR","M","1784","2.21","850","2.16","0","","","0","","0","","0","","0","",""
"Sovereign Okinec Ahau","WG","M","1579","1.93","646","1.85","75","","","16","","17","","33","","42","",""
"Uchbenbak, the Great Mistake","UB","U","26336","5.12","4065","6.98","535","35.1%","48.6%","94","","134","","228","","300","",""
"Vito, Fanatic of Aclazotz","WB","M","1408","1.72","752","1.61","106","","","23","","29","","52","","54","",""
"Wail of the Forgotten","UB","R","6724","3.97","1360","5.11","65","","","8","","16","","24","","41","",""
"Zoyowa Lava-Tongue","BR","U","24481","4.91","3988","6.52","203","17.2%","","33","","48","","81","","120","",""
"Buried Treasure","","C","90073","7.28","9744","10.66","1099","29.4%","49.7%","200","","251","","451","","646","52.0%",""
"Careening Mine Cart","","U","23402","3.97","6787","4.95","1017","65.5%","51.3%","161","","224","","385","","631","53.1%",""
"Cartographer's Companion","","C","86732","6.53","14432","9.04","1151","31.1%","52.5%","212","","245","","457","","688","54.2%",""
"Contested Game Ball","","U","37578","8.72","4062","12.53","11","0.7%","","2","","3","","5","","6","",""
"Disruptor Wanderglyph","","C","93835","8.55","9429","12.40","217","6.2%","","43","","56","","99","","115","",""
"Hoverstone Pilgrim","","U","34124","6.69","4541","9.53","643","38.5%","53.2%","91","","156","","247","","383","",""
"Hunter's Blowgun","","C","91764","8.18","8696","12.11","273","9.2%","","32","","76","","108","","163","",""
"Matzalantli, the Great Door","","R","4940","3.01","885","3.52","361","70.0%","","56","","92","","148","","212","",""
"The Millennium Calendar","","M","2792","3.46","490","3.91","60","","","12","","15","","27","","33","",""
"Roaming Throne","","R","2261","1.31","1687","1.30","615","97.9%","55.0%","100","","163","","263","","346","",""
"Sorcerous Spyglass","","U","37306","8.72","4034","12.58","3","0.2%","","1","","1","","2","","1","",""
"Sunbird Standard","","U","38576","6.06","4680","8.86","492","29.7%","","82","","115","","197","","294","",""
"Swashbuckler's Whip","","U","35303","7.47","3948","10.99","141","11.1%","","23","","38","","61","","80","",""
"Tarrian's Soulcleaver","","R","3132","1.88","1103","1.82","244","","","37","","68","","105","","137","",""
"Threefold Thunderhulk","","R","2223","1.32","1832","1.30","671","95.9%","56.8%","100","","181","","281","","387","",""
"Throne of the Grim Captain","","R","6036","3.66","1222","4.47","315","41.9%","","53","","93","","146","","170","",""
"Treasure Map","","R","2679","1.66","1645","1.63","598","91.9%","53.0%","122","","137","","259","","336","",""
"Cavern of Souls","","M","2237","2.67","410","3.19","50","","","8","","12","","20","","29","",""
"Cavernous Maw","","U","33191","6.56","3642","9.62","825","44.5%","51.3%","138","","218","","356","","466","",""
"Echoing Deeps","","R","8807","4.82","1035","7.11","195","","","30","","54","","84","","111","",""
"Forgotten Monument","","U","33725","6.64","3843","9.59","814","46.3%","49.8%","135","","200","","335","","467","",""
"Hidden Cataract","","B","75483","6.50","13323","8.97","581","28.9%","49.4%","100","","136","","236","","332","",""
"Hidden Courtyard","","B","75203","6.38","11993","8.93","374","22.5%","","52","","99","","151","","222","",""
"Hidden Volcano","","B","73167","6.00","11580","8.50","549","36.2%","51.2%","103","","123","","226","","316","",""
"Pit of Offerings","","U","30692","5.58","3585","8.34","1113","69.2%","51.2%","152","","272","","424","","681","50.5%",""
"Restless Anchorage","","R","4637","2.58","1865","2.72","21","","","9","","4","","13","","8","",""
"Restless Prairie","","R","5044","2.89","1340","3.26","116","","","22","","23","","45","","68","",""
"Restless Reef","","R","4674","2.73","1439","3.00","215","","","45","","47","","92","","121","",""
"Restless Ridgeline","","R","4242","2.57","1291","2.79","253","48.2%","","41","","62","","103","","147","",""
"Restless Vents","","R","5175","2.99","1324","3.49","161","","","26","","39","","65","","95","",""
"Sunken Citadel","","R","5454","3.01","1233","3.60","319","","","70","","75","","145","","171","",""
"Volatile Fault","","U","35396","7.23","3644","10.92","470","30.1%","","64","","133","","197","","270","",""
"Deeproot Pilgrimage","U","R","6789","4.36","1233","5.36","6","","","0","","2","","2","","4","",""
"Subterranean Schooner","U","R","2941","1.85","1989","1.80","55","","","10","","11","","21","","34","",""
"Bloodletter of Aclazotz","B","M","1303","1.54","677","1.48","552","96.0%","51.6%","100","","137","","237","","307","",""
"Souls of the Lost","B","R","3713","2.26","1170","2.33","943","97.8%","50.4%","171","","242","","413","","522","46.6%",""
"Cosmium Confluence","G","R","5947","3.58","1123","4.18","724","70.9%","56.9%","122","","216","","338","","383","",""
"Chimil, the Inner Sun","","M","955","1.14","854","1.14","369","","","54","","105","","159","","211","",""
"Runaway Boulder","","C","90700","7.39","10034","10.85","856","22.6%","49.6%","145","","215","","360","","496","",""
