"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Uchbenbak, the Great Mistake","UB","U","26336","5.12","4065","6.98","203","8.4%","","16","","46","","62","","140","",""
"Vito, Fanatic of Aclazotz","WB","M","1408","1.72","752","1.61","94","","","14","","27","","41","","51","",""
"Wail of the Forgotten","UB","R","6724","3.97","1360","5.11","7","0.9%","","0","","1","","1","","6","",""
"Zoyowa Lava-Tongue","BR","U","24481","4.91","3988","6.52","0","0.0%","","0","","0","","0","","0","",""
"Contested Game Ball","","U","37578","8.72","4062","12.53","45","1.2%","","3","","8","","11","","34","",""
"Disruptor Wanderglyph","","C","93835","8.55","9429","12.40","678","7.2%","52.4%","106","","143","","249","","422","",""
"Hunter's Blowgun","","C","91764","8.18","8696","12.11","787","9.7%","53.5%","132","","198","","330","","451","",""
"Matzalantli, the Great Door","","R","4940","3.01","885","3.52","287","43.9%","","59","","87","","146","","139","",""
"The Millennium Calendar","","M","2792","3.46","490","3.91","190","36.6%","","38","","44","","82","","106","",""
"Sorcerous Spyglass","","U","37306","8.72","4034","12.58","11","0.3%","","3","","1","","4","","7","",""
"Sunbird Standard","","U","38576","6.06","4680","8.86","1085","23.7%","52.4%","185","","279","","464","","599","51.1%",""
"Swashbuckler's Whip","","U","35303","7.47","3948","10.99","497","12.0%","","81","","130","","211","","280","",""
"Tarrian's Soulcleaver","","R","3132","1.88","1103","1.82","747","78.1%","55.3%","133","","173","","306","","425","",""
"Throne of the Grim Captain","","R","6036","3.66","1222","4.47","202","22.4%","","24","","50","","74","","123","",""
"Cavern of Souls","","M","2237","2.67","410","3.19","25","","","2","","4","","6","","19","",""
"Cavernous Maw","","U","33191","6.56","3642","9.62","589","21.3%","54.3%","99","","157","","256","","325","",""
"Echoing Deeps","","R","8807","4.82","1035","7.11","151","17.4%","","25","","49","","74","","76","",""
"Forgotten Monument","","U","33725","6.64","3843","9.59","803","29.8%","53.4%","151","","226","","377","","419","",""
"Hidden Necropolis","","B","73164","6.13","10111","8.65","221","8.0%","","35","","60","","95","","126","",""
"Hidden Nursery","","B","72351","6.01","8891","8.61","198","10.5%","","32","","45","","77","","118","",""
"Hidden Volcano","","B","73167","6.00","11580","8.50","429","15.6%","","77","","122","","199","","226","",""
"Pit of Offerings","","U","30692","5.58","3585","8.34","1196","43.5%","54.8%","187","","301","","488","","703","54.3%",""
"Restless Prairie","","R","5044","2.89","1340","3.26","190","24.1%","","34","","56","","90","","100","",""
"Restless Reef","","R","4674","2.73","1439","3.00","253","23.3%","","45","","64","","109","","141","",""
"Restless Ridgeline","","R","4242","2.57","1291","2.79","0","","","0","","0","","0","","0","",""
"Restless Vents","","R","5175","2.99","1324","3.49","7","1.4%","","0","","1","","1","","6","",""
"Sunken Citadel","","R","5454","3.01","1233","3.60","706","74.9%","56.7%","131","","162","","293","","410","",""
"Volatile Fault","","U","35396","7.23","3644","10.92","548","18.1%","51.8%","105","","142","","247","","301","",""
"Deeproot Pilgrimage","U","R","6789","4.36","1233","5.36","210","14.1%","","36","","57","","93","","117","",""
"Acolyte of Aclazotz","B","C","86952","7.36","10000","10.42","1","0.0%","","0","","1","","1","","0","",""
"Bloodletter of Aclazotz","B","M","1303","1.54","677","1.48","0","","","0","","0","","0","","0","",""
"Defossilize","B","U","22622","4.28","4208","5.44","29","2.8%","","2","","11","","13","","16","",""
"Fungal Fortitude","B","C","87826","7.59","8779","11.21","4","0.1%","","0","","1","","1","","3","",""
"Souls of the Lost","B","R","3713","2.26","1170","2.33","11","","","3","","4","","7","","4","",""
"Cosmium Confluence","G","R","5947","3.58","1123","4.18","26","4.9%","","8","","6","","14","","12","",""
"Chimil, the Inner Sun","","M","955","1.14","854","1.14","812","92.0%","58.9%","135","","222","","357","","440","",""
